Country,Country_Key,Origin,target_date,y_target,f_AR,f_GRE,Horizon,signal,e0,e1,cw
South Africa,southafrica,2021-08-01,2021-11-01,11.886267717059948,1.61736578808328,1.7278593580602188,3,zgre,10.268901928976668,10.15840835899973,2.269295267751417
South Sudan,southsudan,2021-08-01,2021-11-01,37.80123304592692,16.44200234569287,15.732235924016555,3,zgre,21.35923070023405,22.068997121910364,-30.320129487727968
Sudan,sudan,2021-08-01,2021-11-01,-11.957266935765071,1.7706644765334403,2.3132858538351146,3,zgre,-13.727931412298512,-14.270552789600186,-14.898138100888701
Tanzania,tanzania,2021-08-01,2021-11-01,9.687409494996317,8.196976241348192,8.727093916789894,3,zgre,1.4904332536481242,0.9603155782064228,1.5802100236499106
Togo,togo,2021-08-01,2021-11-01,12.504881745466992,6.548040887513004,6.951476658337458,3,zgre,5.956840857953988,5.553405087129534,4.806405366414534
Tunisia,tunisia,2021-08-01,2021-11-01,8.358297558631591,5.013376769789328,5.161232484372531,3,zgre,3.3449207888422627,3.1970650742590605,0.9891313069169634
Uganda,uganda,2021-08-01,2021-11-01,14.110530952228013,7.915848362248538,7.928192341716813,3,zgre,6.194682589979474,6.1823386105111995,0.15293406940637055
Zambia,zambia,2021-08-01,2021-11-01,15.7648129263361,4.39253939611511,4.2218229549197375,3,zgre,11.37227353022099,11.542989971416363,-3.8828681307593342
Zimbabwe,zimbabwe,2021-08-01,2021-11-01,18.696259499690417,5.731447701912993,5.758798604566221,3,zgre,12.964811797777424,12.937460895124197,0.7091986107968182
Algeria,algeria,2021-09-01,2021-12-01,16.72041996677317,4.912465141463231,3.9323273136276384,3,zgre,11.80795482530994,12.788092653145533,-23.14684638732018
Angola,angola,2021-09-01,2021-12-01,17.76921879020678,4.8573022212504675,4.6466604108702745,3,zgre,12.911916568956311,13.122558379336503,-5.439578963125911
Benin,benin,2021-09-01,2021-12-01,12.274782872204646,7.031391271888531,7.884270296527874,3,zgre,5.243391600316115,4.390512575676772,8.943957427759461
Botswana,botswana,2021-09-01,2021-12-01,18.586716038596634,5.268931795745619,3.9215133449460073,3,zgre,13.317784242851015,14.665202693650627,-35.889256425171595
Burkina-Faso,burkinafaso,2021-09-01,2021-12-01,7.181969165105892,6.738105725092716,7.086827825140502,3,zgre,0.44386344001317646,0.09514133996538998,0.3095699818716592
Burundi,burundi,2021-09-01,2021-12-01,9.909609701574103,2.8287947680909857,3.112552292413823,3,zgre,7.080814933483118,6.7970574091602805,4.018469031426697
Cameroon,cameroon,2021-09-01,2021-12-01,12.65022537846322,7.027182178962587,7.865287829670756,3,zgre,5.623043199500634,4.784937548792465,9.425408559355244
Cape Verde,capeverde,2021-09-01,2021-12-01,24.88484706306584,6.910201664664271,6.351299967348421,3,zgre,17.97464539840157,18.53354709571742,-20.092119643634305
Central African Republic,centralafricanrepublic,2021-09-01,2021-12-01,8.254140074922311,7.028472985579365,7.168206253763093,3,zgre,1.2256670893429469,1.0859338211592187,0.3425329361982552
Chad,chad,2021-09-01,2021-12-01,17.2885551006365,4.826433273055036,4.4971881644210105,3,zgre,12.462121827581464,12.79136693621549,-8.20618530986502
Comoros,comoros,2021-09-01,2021-12-01,8.728777668101866,3.502268366691032,2.6963040574161483,3,zgre,5.226509301410834,6.032473610685718,-8.424759918060687
Congo,congo,2021-09-01,2021-12-01,20.212729980715014,8.326222220136643,8.278909042097512,3,zgre,11.886507760578372,11.933820938617503,-1.1247769158795222
Congo DRC,congodrc,2021-09-01,2021-12-01,16.995870592434866,5.486599540917805,5.668697942112255,3,zgre,11.50927105151706,11.327172650322611,4.191639714789659
Djibouti,djibouti,2021-09-01,2021-12-01,11.154439586088284,8.401062900189618,8.392141697285174,3,zgre,2.7533766858986652,2.7622978888031096,-0.04912686417453749
